                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.70328,                0.45172,                 1.0782,                 0.9644,                0.97085,                0.98801,                0.84386,                0.67262,                0.32057,                 1.1375,              0.0084556,              0.0084556,              0.0084556
                     80,                0.68931,                0.44861,                 1.0729,                0.95413,                0.95465,                0.98738,                0.82788,                0.68781,                0.34379,                  1.152,              0.0084358,              0.0084358,              0.0084358
                     81,                0.71037,                0.44288,                 1.0871,                0.94656,                0.96847,                0.98575,                0.82756,                0.69606,                0.33875,                 1.1565,               0.008416,               0.008416,               0.008416
                     82,                0.70477,                0.45383,                 1.0875,                0.95007,                0.95555,                0.98547,                0.82751,                0.69244,                0.34659,                 1.1509,              0.0083962,              0.0083962,              0.0083962
                     83,                0.70241,                0.44752,                 1.0852,                0.95767,                 0.9516,                0.98561,                0.83921,                0.67283,                0.33836,                  1.134,              0.0083764,              0.0083764,              0.0083764
                     84,                0.70494,                0.44882,                 1.0838,                0.94654,                0.95746,                 0.9859,                0.83403,                0.68437,                0.33979,                 1.1377,              0.0083566,              0.0083566,              0.0083566
                     85,                0.70105,                0.44774,                 1.0836,                0.95081,                0.95566,                 0.9864,                0.83939,                0.66646,                0.33182,                 1.1376,              0.0083368,              0.0083368,              0.0083368
                     86,                0.70868,                0.44451,                 1.0826,                0.96536,                0.95396,                0.98596,                 0.8338,                0.67779,                0.34093,                 1.1404,               0.008317,               0.008317,               0.008317
                     87,                 0.7052,                0.45335,                 1.0854,                0.94701,                0.94972,                0.98409,                0.83277,                0.68376,                0.36781,                 1.1392,              0.0082972,              0.0082972,              0.0082972
                     88,                0.68884,                0.44686,                 1.0712,                0.96115,                0.94766,                0.98404,                0.83109,                0.67391,                0.33995,                 1.1269,              0.0082774,              0.0082774,              0.0082774
                     89,                0.69534,                0.45255,                 1.0766,                0.95077,                0.96107,                0.98551,                0.84085,                0.66021,                0.33868,                 1.1288,              0.0082576,              0.0082576,              0.0082576
                     90,                0.68864,                0.43302,                 1.0671,                0.94845,                0.96128,                0.98561,                0.83545,                 0.6794,                 0.3322,                 1.1354,              0.0082378,              0.0082378,              0.0082378
                     91,                0.68768,                0.43489,                 1.0742,                0.96048,                0.95413,                0.98617,                0.83686,                0.68328,                0.33947,                 1.1438,               0.008218,               0.008218,               0.008218
                     92,                0.69732,                0.44176,                 1.0762,                0.96549,                0.95408,                0.98674,                0.84256,                0.66684,                0.31927,                 1.1258,              0.0081982,              0.0081982,              0.0081982
                     93,                0.68582,                 0.4225,                  1.071,                 0.9549,                0.94726,                0.98363,                0.84154,                0.67906,                0.34055,                 1.1275,              0.0081784,              0.0081784,              0.0081784
                     94,                0.68161,                0.43675,                 1.0698,                0.95856,                0.95639,                0.98551,                0.83169,                 0.6791,                0.33143,                 1.1386,              0.0081586,              0.0081586,              0.0081586
                     95,                0.70296,                0.44105,                 1.0843,                0.95136,                0.96106,                0.98681,                0.83383,                0.68176,                0.33072,                 1.1321,              0.0081388,              0.0081388,              0.0081388
                     96,                0.69291,                0.42952,                  1.085,                0.95706,                0.96433,                0.98465,                0.83765,                0.66111,                0.33677,                 1.1212,               0.008119,               0.008119,               0.008119
                     97,                0.70341,                0.45454,                 1.0773,                0.96048,                0.97382,                  0.989,                0.84064,                0.66832,                0.31178,                 1.1299,              0.0080992,              0.0080992,              0.0080992
                     98,                0.68988,                0.44942,                 1.0765,                0.95363,                0.95694,                0.98634,                0.83659,                0.67421,                0.33205,                 1.1356,              0.0080794,              0.0080794,              0.0080794
                     99,                0.68791,                0.43059,                 1.0765,                0.96515,                0.94707,                 0.9877,                0.83879,                0.66783,                0.33169,                 1.1225,              0.0080596,              0.0080596,              0.0080596
                    100,                0.68584,                0.43036,                 1.0702,                0.94888,                0.94269,                0.98612,                0.84617,                0.65621,                0.33399,                 1.1233,              0.0080398,              0.0080398,              0.0080398
